MXene (mg/mL),Laminin peptide (ug/mL),Electric stimulation (Hz),Voltage (V),Cell viability (%),Cell viability Index
0.3,50,1.0,1.0,64.0,0.5
0.0,150,0.0,0.0,111.0,1.0
0.3,0,3.0,1.0,89.0,1.0
0.1,150,3.0,1.0,67.0,0.5
0.2,50,0.5,3.0,34.0,0.0
0.3,50,3.0,1.0,101.0,1.0
0.18,70,0.5,1.0,91.0,1.0
0.1,50,2.0,0.1,96.0,1.0
0.3,0,0.0,0.0,101.0,1.0
0.1,0,3.0,3.0,26.0,0.0
0.2,150,1.0,0.1,66.0,0.5
0.1,0,2.0,3.0,34.0,0.0
0.3,50,0.5,1.0,51.0,0.0
0.2,0,1.0,3.0,35.0,0.0
0.0,50,3.0,0.1,97.0,1.0
0.1,50,2.0,1.0,87.0,1.0
0.0,0,0.0,0.0,100.0,1.0
0.1,0,3.0,0.1,101.0,1.0
0.1,0,3.0,1.0,82.0,1.0
0.3,0,3.0,3.0,47.0,0.0
0.2515,50,3.0,1.0,51.08921,0.0
0.0673,100,1.0,1.5,64.41909,0.5
0.0,150,1.0,1.0,107.0,1.0
0.0,150,1.0,0.1,91.0,1.0
0.1,0,0.5,3.0,30.0,0.0
0.3,150,3.0,1.0,107.0,1.0
0.1133,10,0.0,0.0,144.67497,1.0
0.0,50,0.0,0.0,102.0,1.0
0.3,0,0.0,0.0,101.0,1.0
0.18,50,0.5,1.5,109.0,1.0
0.12,110,2.5,1.0,92.0,1.0
0.1,0,0.0,0.0,94.0,1.0
0.2,50,1.0,1.0,61.0,0.5
0.1,50,0.0,0.0,94.0,1.0
0.1,150,1.0,2.0,83.0,1.0
0.3,50,0.5,0.1,100.0,1.0
0.3,150,3.0,2.0,43.0,0.0
0.2,150,0.5,1.0,50.0,0.0
0.0,0,0.5,2.0,47.0,0.0
0.0663,40,0.0,0.0,141.18257,1.0
0.1,0,0.5,2.0,74.0,0.5
0.2,0,3.0,3.0,24.0,0.0
0.1,150,0.0,0.0,101.0,1.0
0.1,150,3.0,3.0,28.0,0.0
0.3,0,1.0,2.0,36.0,0.0
0.3,50,3.0,0.1,70.0,0.5
0.3,150,2.0,3.0,47.0,0.0
0.3,0,2.0,0.1,61.0,0.5
0.1,0,2.0,1.0,84.0,1.0
0.1,0,0.5,0.1,78.0,0.5
0.3,150,0.5,0.1,91.0,1.0
0.0,0,1.0,3.0,56.0,0.0
0.1,50,3.0,3.0,28.0,0.0
0.1,50,0.0,0.0,87.0,1.0
0.0,50,2.0,3.0,61.0,0.5
0.0,150,3.0,1.0,102.0,1.0
0.2,0,3.0,2.0,43.0,0.0
0.04,140,2.5,1.5,67.0,0.5
0.0,0,0.0,0.0,100.0,1.0
0.1,90,2.0,1.5,118.0,1.0
0.3,50,2.0,2.0,39.0,0.0
0.2,50,2.0,3.0,27.0,0.0
0.0,150,0.0,0.0,126.0,1.0
0.1,50,0.5,1.0,89.0,1.0
0.1,150,1.0,3.0,33.0,0.0
0.1,0,0.0,0.0,97.0,1.0
0.0,0,3.0,1.0,96.0,1.0
0.0,50,3.0,2.0,61.0,0.5
0.1,150,2.0,0.1,70.0,0.5
0.0,150,2.0,1.0,98.0,1.0
0.2,0,2.0,1.0,70.0,0.5
0.3,0,2.0,1.0,79.0,0.5
0.1,150,0.5,3.0,36.0,0.0
0.0,50,2.0,2.0,70.0,0.5
0.0,50,1.0,0.1,85.0,1.0
0.2,50,2.0,0.1,67.0,0.5
0.1,50,2.0,2.0,58.0,0.0
0.2,150,2.0,0.1,68.0,0.5
0.2,0,2.0,0.1,67.0,0.5
0.2,0,0.0,0.0,91.0,1.0
0.2,150,1.0,3.0,29.0,0.0
0.0,50,1.0,3.0,56.0,0.0
0.3,50,1.0,0.1,87.0,1.0
0.1,150,0.5,2.0,80.0,1.0
0.2,50,2.0,2.0,46.0,0.0
0.3,150,2.0,1.0,110.0,1.0
0.3,150,0.5,3.0,44.0,0.0
0.0,50,2.0,0.1,92.0,1.0
0.2,0,3.0,0.1,70.0,0.5
0.12,60,2.0,1.5,91.0,1.0
0.3,50,2.0,0.1,81.0,1.0
0.1667,110,0.0,0.0,193.56846,1.0
0.0,50,1.0,1.0,97.0,1.0
0.3,50,3.0,2.0,42.0,0.0
0.2,50,0.5,2.0,60.0,0.5
0.1,20,0.5,1.0,136.0,1.0
0.2,150,0.5,2.0,56.0,0.0
0.3,50,0.0,0.0,96.0,1.0
0.1,50,2.0,3.0,36.0,0.0
0.08,40,1.0,1.5,77.0,0.5
0.0,50,0.5,1.0,84.0,1.0
0.2,0,2.0,2.0,45.0,0.0
0.3,150,1.0,0.1,84.0,1.0
0.2,50,0.0,0.0,96.0,1.0
0.3,150,1.0,2.0,36.0,0.0
0.0,50,3.0,3.0,56.0,0.0
0.2,150,0.0,0.0,101.0,1.0
0.1,0,1.0,2.0,51.0,0.0
0.07,20,2.0,1.5,52.42047,0.0
0.1,0,1.0,1.0,89.0,1.0
0.3,50,0.0,0.0,81.0,1.0
0.22,50,0.0,0.0,130.0,1.0
0.0,0,1.0,1.0,82.0,1.0
0.2,150,0.5,0.1,69.0,0.5
0.3,50,1.0,2.0,35.0,0.0
0.2,150,0.0,0.0,101.0,1.0
0.1,50,3.0,1.0,63.0,0.5
0.0,150,0.5,3.0,95.0,1.0
0.2,50,0.0,0.0,96.0,1.0
